lead_id,text
L001,"On 12 March 2024, France and Kenya signed a bilateral health-sector aid agreement worth EUR 80 million over four years, focused on maternal and child health programs in five Kenyan counties."
L002,"The European Union and Vietnam concluded a free trade agreement on 30 June 2019, eliminating 99 percent of tariffs on goods over a ten-year transition period."
L003,"Germany and Japan announced on 15 January 2023 a joint defense cooperation pact covering intelligence sharing, joint training exercises, and supply-chain resilience for semiconductors."
L004,"Brazil and Argentina signed a bilateral climate accord in November 2022 committing both countries to a coordinated reduction in Amazon deforestation by 2030."
L005,"The United States and South Korea finalized a renewed Status of Forces Agreement in October 2021, updating cost-sharing arrangements for US military presence on the Korean Peninsula."
L006,"Norway and Indonesia extended their REDD+ partnership through 2025 with an additional USD 1 billion in performance-based payments tied to verified emissions reductions."
L007,"India and Australia entered into the Economic Cooperation and Trade Agreement on 2 April 2022, providing tariff-free access for 96 percent of Australian exports to India."
L008,"On 8 September 2020, the United Arab Emirates and Israel signed the Abraham Accords, normalizing diplomatic relations and establishing cooperation in security, technology, and tourism."
L009,"Canada and Chile renewed their bilateral mining cooperation framework in March 2023, focused on critical minerals supply chains and joint research on lithium extraction."
L010,"The World Health Organization and Rwanda signed a health-systems strengthening agreement on 14 May 2024, providing technical assistance for the rollout of a national digital health platform."
L011,"In April 2018, Mexico, Canada, and the United States agreed to the USMCA, replacing NAFTA and updating provisions on automotive content, dairy, and digital trade."
L012,"South Africa and Egypt signed a memorandum of understanding on agricultural trade on 22 February 2023, covering grain imports and joint extension services."
L013,"The United Kingdom and Singapore concluded a digital economy agreement on 25 February 2022, covering cross-border data flows, electronic invoicing, and AI governance principles."
L014,"On 3 December 2021, Pakistan and China renewed the China-Pakistan Economic Corridor memorandum, allocating an additional USD 11 billion to energy and transport infrastructure projects."
L015,"The Asian Infrastructure Investment Bank approved a USD 600 million loan to the Philippines in July 2023 for the Metro Manila Subway, in coordination with the Japan International Cooperation Agency."
L016,"France and Senegal signed a security cooperation agreement on 9 November 2022, focused on counterterrorism training and equipment provision in the Sahel."
L017,"In June 2024, the G7 finance ministers reached an agreement to leverage frozen Russian sovereign assets to provide a USD 50 billion loan to Ukraine."
L018,"Vietnam and Russia formalized a strategic partnership accord on 20 June 2024, including continued defense procurement and oil and gas joint ventures in the South China Sea."
L019,"The African Continental Free Trade Area agreement entered into force on 1 January 2021, with 54 of 55 African Union member states as signatories at launch."
